Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
10001,2711,"S1-TECH 1","D","System 1 Tech 1","Public Works","System 1 Radio Maintenence - Marion County"
10002,2712,"S1-TECH 2","D","System 1 Tech 2","Public Works","System 1 Radio Maintenence - Marion County"
10003,2713,"S1-TECH 3","D","System 1 Tech 3","Public Works","System 1 Radio Maintenence - Marion County"
10004,2714,"S1-TECH 4","D","System 1 Tech 4","Public Works","System 1 Radio Maintenence - Marion County"
10005,2715,"S1-TECH 5","D","System 1 Tech 5","Public Works","System 1 Radio Maintenence - Marion County"
10006,2716,"S1-TECH 6","D","System 1 Tech 6","Public Works","System 1 Radio Maintenence - Marion County"
10007,2717,"S1-TECH 7","D","System 1 Tech 7","Public Works","System 1 Radio Maintenence - Marion County"
10008,2718,"S1-TECH 8","D","System  1 Tech 8","Public Works","System 1 Radio Maintenence - Marion County"
10009,2719,"S1-TECH 9","D","System 1 Tech 9","Public Works","System 1 Radio Maintenence - Marion County"
10010,271a,"S1-TECH 10","D","System 1 Tech 10","Public Works","System 1 Radio Maintenence - Marion County"
10011,271b,"S1-TECH 11","D","System 1 Tech 11","Public Works","System 1 Radio Maintenence - Marion County"
10012,271c,"S1-T01","D","System 1 Tactical 01","Multi-Tac","System 1 Tactical"
10013,271d,"S1-T02","D","System 1 Tactical 02","Multi-Tac","System 1 Tactical"
10014,271e,"S1-T03","D","System 1 Tactical 03","Multi-Tac","System 1 Tactical"
10015,271f,"S1-T04","D","System 1 Tactical 04","Multi-Tac","System 1 Tactical"
10016,2720,"S1-T05","D","System 1 Tactical 05","Multi-Tac","System 1 Tactical"
10017,2721,"S1-T06","D","System 1 Tactical 06","Multi-Tac","System 1 Tactical"
10018,2722,"S1-T07","D","System 1 Tactical 07","Multi-Tac","System 1 Tactical"
10019,2723,"S1-T08","D","System 1 Tactical 08","Multi-Tac","System 1 Tactical"
10020,2724,"S1-T09","D","System 1 Tactical 09","Multi-Tac","System 1 Tactical"
10021,2725,"S1-T10","D","System 1 Tactical 10","Multi-Tac","System 1 Tactical"
10022,2726,"S1-T11","D","System 1 Tactical 11","Multi-Tac","System 1 Tactical"
10023,2727,"S1-T12","D","System 1 Tactical 12","Multi-Tac","System 1 Tactical"
10024,2728,"S1-T13","D","System 1 Tactical 13","Multi-Tac","System 1 Tactical"
10025,2729,"S1-T14","D","System 1 Tactical 14","Multi-Tac","System 1 Tactical"
10026,272a,"S1-T15","D","System 1 Tactical 15","Multi-Tac","System 1 Tactical"
10102,2776,"MET-CW","D","Countywide All Call","Interop","Indianapolis Metropolitan Police Department (IMPD)"
10103,2777,"MET-NW1","D","Northwest District Primary","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10104,2778,"MET-NW2","D","Northwest District Secondary","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10105,2779,"MET-NW3","DE","Northwest District Secure Operations","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10106,277a,"MET-NO1","D","North District Primary","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
