Starting reclassification of dispatch calls...
Found 1775 dispatch calls to reclassify
Updated call 3017: "undefined" → "Medical Emergency"
Updated call 3043: "undefined" → "Sick Person"
Updated call 398: "undefined" → "Unknown"
Updated call 409: "undefined" → "Unknown"
Updated call 471: "undefined" → "Unknown"
Updated call 385: "undefined" → "Unknown"
Updated call 610: "undefined" → "Medical Emergency"
Updated call 1178: "undefined" → "Injured Person"
Updated call 388: "undefined" → "Sick Person"
Updated call 706: "undefined" → "Medical Emergency"
Updated call 395: "undefined" → "Medical Emergency"
Updated call 799: "undefined" → "Medical Emergency"
Updated call 744: "undefined" → "Sick Person"
Updated call 1379: "undefined" → "Unconscious Person"
Updated call 1592: "undefined" → "Injured Person"
Updated call 802: "undefined" → "Unconscious Person"
Updated call 1219: "undefined" → "Difficulty Breathing"
Updated call 1595: "undefined" → "Injured Person"
Updated call 999: "undefined" → "Fire/Hazmat"
Updated call 1059: "undefined" → "Assist Person"
Updated call 803: "undefined" → "Gunshot"
Updated call 806: "undefined" → "Vehicle Accident"
Updated call 993: "undefined" → "Fire/Hazmat"
Updated call 1446: "undefined" → "Sick Person"
Updated call 1453: "undefined" → "Sick Person"
Updated call 1483: "undefined" → "Difficulty Breathing"
Updated call 1459: "undefined" → "Medical Emergency"
Updated call 1460: "undefined" → "Assist Person"
Updated call 1715: "undefined" → "Difficulty Breathing"
Updated call 1472: "undefined" → "Headache"
Updated call 1474: "undefined" → "Sick Person"
Updated call 1797: "undefined" → "Fire/Hazmat"
Updated call 721: "undefined" → "Unknown"
Updated call 631: "undefined" → "Unknown"
Updated call 635: "undefined" → "Medical Emergency"
Updated call 1564: "undefined" → "Medical Emergency"
Updated call 1702: "undefined" → "Injured Person"
Updated call 1823: "undefined" → "Unknown"
Updated call 1665: "undefined" → "Gunshot"
Updated call 1894: "undefined" → "Vehicle Accident"
Updated call 2221: "undefined" → "Fire/Hazmat"
Updated call 2293: "undefined" → "Cardiac Arrest"
Updated call 2236: "undefined" → "Assist Person"
Updated call 2019: "undefined" → "Sick Person"
Updated call 2045: "undefined" → "Overdose"
Updated call 2055: "undefined" → "Vehicle Accident"
Updated call 2016: "undefined" → "Allergic Reaction"
Updated call 2032: "undefined" → "Unknown"
Updated call 544: "undefined" → "Unknown"
Updated call 575: "undefined" → "Difficulty Breathing"
Updated call 2488: "undefined" → "Fire/Hazmat"
Updated call 2569: "undefined" → "Fire/Hazmat"
Updated call 561: "undefined" → "Unknown"
Updated call 666: "undefined" → "Unknown"
Updated call 585: "undefined" → "Unknown"
Updated call 601: "undefined" → "Unknown"
Updated call 813: "undefined" → "Unknown"
Updated call 542: "undefined" → "Unknown"
Updated call 667: "undefined" → "Medical Emergency"
Updated call 2899: "undefined" → "Gunshot"
Updated call 776: "undefined" → "Unknown"
Updated call 708: "undefined" → "Unconscious Person"
Updated call 586: "undefined" → "Mental-Emotional"
Updated call 518: "undefined" → "Unconscious Person"
Updated call 560: "undefined" → "Unknown"
Updated call 564: "undefined" → "Unknown"
Updated call 520: "undefined" → "Unconscious Person"
Updated call 534: "undefined" → "Vehicle Accident"
Updated call 587: "undefined" → "Seizure"
Updated call 3475: "undefined" → "Difficulty Breathing"
Updated call 523: "undefined" → "Vehicle Accident"
Updated call 537: "undefined" → "Medical Emergency"
Updated call 594: "undefined" → "Unknown"
Updated call 1444: "undefined" → "Assist Person"
Updated call 524: "undefined" → "Diabetic"
Updated call 528: "undefined" → "Unknown"
Updated call 529: "undefined" → "Unknown"
Updated call 930: "undefined" → "Unconscious Person"
Updated call 531: "undefined" → "Assist Person"
Updated call 701: "undefined" → "Unknown"
Updated call 525: "undefined" → "Medical Emergency"
Updated call 682: "undefined" → "Injured Person"
Updated call 526: "undefined" → "Vehicle Accident"
Updated call 572: "undefined" → "Unconscious Person"
Updated call 355: "undefined" → "Unknown"
Updated call 362: "undefined" → "Unknown"
Updated call 364: "undefined" → "Unknown"
Updated call 367: "undefined" → "Unknown"
Updated call 371: "undefined" → "Unknown"
Updated call 1437: "undefined" → "Unconscious Person"
Updated call 429: "undefined" → "Abdominal Pain"
Updated call 396: "undefined" → "Vehicle Accident"
Updated call 394: "undefined" → "Unconscious Person"
Updated call 392: "undefined" → "Chest Pain/Heart"
Updated call 390: "undefined" → "Unknown"
Updated call 382: "undefined" → "Fire/Hazmat"
Updated call 380: "undefined" → "Vehicle Accident"
Updated call 378: "undefined" → "Unknown"
Updated call 376: "undefined" → "Unknown"
Updated call 374: "undefined" → "Unknown"
Progress: 100/1775 calls processed, 100 updated
Updated call 384: "undefined" → "Difficulty Breathing"
Updated call 405: "undefined" → "Sick Person"
Updated call 404: "undefined" → "Assist Person"
Updated call 403: "undefined" → "Cardiac Arrest"
Updated call 402: "undefined" → "Allergic Reaction"
Updated call 401: "undefined" → "Unconscious Person"
Updated call 400: "undefined" → "Unknown"
Updated call 399: "undefined" → "Allergic Reaction"
Updated call 397: "undefined" → "Vehicle Accident"
Updated call 393: "undefined" → "Cardiac Arrest"
Updated call 391: "undefined" → "Chest Pain/Heart"
Updated call 383: "undefined" → "Difficulty Breathing"
Updated call 389: "undefined" → "Unknown"
Updated call 381: "undefined" → "Medical Emergency"
Updated call 375: "undefined" → "Unknown"
Updated call 379: "undefined" → "Unknown"
Updated call 387: "undefined" → "Unknown"
Updated call 479: "undefined" → "Difficulty Breathing"
Updated call 350: "undefined" → "Vehicle Accident"
Updated call 420: "undefined" → "Unconscious Person"
Updated call 418: "undefined" → "Mental/Emotional"
Updated call 410: "undefined" → "Unknown"
Updated call 414: "undefined" → "Unknown"
Updated call 412: "undefined" → "Unknown"
Updated call 432: "undefined" → "Unknown"
Updated call 643: "undefined" → "Unknown"
Updated call 430: "undefined" → "Sick Person"
Updated call 646: "undefined" → "Unconscious Person"
Updated call 686: "undefined" → "Unknown"
Updated call 426: "undefined" → "Overdose"
Updated call 417: "undefined" → "Assist Person"
Updated call 413: "undefined" → "Unknown"
Updated call 411: "undefined" → "Unknown"
Updated call 352: "undefined" → "Abdominal Pain"
Updated call 462: "undefined" → "Unknown"
Updated call 616: "undefined" → "Medical Emergency"
Updated call 464: "undefined" → "Unconscious Person"
Updated call 353: "undefined" → "Unknown"
Updated call 617: "undefined" → "Fire/Hazmat"
Updated call 677: "undefined" → "Mental-Emotional"
Updated call 618: "undefined" → "Unknown"
Updated call 1359: "undefined" → "Difficulty Breathing"
Updated call 358: "undefined" → "Unconscious Person"
Updated call 416: "undefined" → "Unknown"
Updated call 484: "undefined" → "Unknown"
Updated call 1360: "undefined" → "Difficulty Breathing"
Updated call 357: "undefined" → "Injured Person"
Updated call 360: "undefined" → "Assist Person"
Updated call 486: "undefined" → "Unknown"
Updated call 359: "undefined" → "Assist Person"
Updated call 372: "undefined" → "Injured Person"
